old,job-title,salary,state,experience,education,gender
3,Research and Instruction Librarian,"55,000",Massachusetts,3,2,2
3,Change & Internal Communications Manager,"54,600",,4,1,0
3,Marketing Specialist,"34,000",Tennessee,2,1,2
3,Program Manager,"62,000",Wisconsin,4,1,2
3,Accounting Manager,"60,000",South Carolina,4,1,2
3,Scholarly Publishing Librarian,"62,000",New Hampshire,4,2,1
3,Publishing Assistant,"33,000",South Carolina,2,1,2
3,Librarian,"50,000",Arizona,3,2,1
5,Systems Analyst,"112,000",Missouri,6,1,2
4,Senior Accountant,"45,000",Florida,6,1,2
3,Office Manager,"47,500",,3,1,2
4,Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,"62,000",Pennsylvania,5,3,2
4,Manager of Information Services,"100,000",Michigan,5,1,1
3,Legal Aid Staff Attorney,"52,000",Minnesota,2,,2
2,Patient care coordinator,"32,000",,1,1,2
4,Quality And Compliance Specialist,"24,000",,5,1,1
4,Executive Assistant,"85,000",Illinois,4,0,2
5,graphic designer,"59,000",California,6,1,2
4,Senior Manager,"98,000",Georgia,5,2,2
4,Assistant Director of Academic Advising,"54,000",Florida,5,2,2
3,Data Programmer Analyst,"74,000",Pennsylvania,3,2,2
4,Program Coordinator & Assistant Editor ,"50,000",,3,3,2
4,Event Planner,"63,000",,5,2,2
4,Researcher,"96,000",Ohio,4,3,2
3,Teen Librarian ,"44,500",Florida,3,,2
4,Communications Specialist,"60,000",Michigan,5,2,2
3,Program Director,"62,000",District of Columbia,3,1,1
4,Bookkeeper/Billing Manager,"48,000",Maryland,5,1,2
4,Economist,"140,000",District of Columbia,5,2,2
3,Research Engineer,"80,000",Texas,3,1,2
3,Volunteer and Giving Coordinator,"39,000",Minnesota,2,1,2
4,Editor,"125,000",District of Columbia,5,2,2
3,Financial Advisor,"230,000",Missouri,5,1,2
4,Accounting Manager,"110,000",Virginia,6,1,2
3,Administrative and HR Manager,"50,000",District of Columbia,3,1,2
4,Senior IRB Analyst,"68,000",North Carolina,3,2,2
2,Reporter,"41,000",Michigan,2,1,2
3,Senior Administrator ,"76,000",New York,3,1,2
4,Staff Services Manager II,"78,000",California,4,2,2
3,Receptionist,"37,000",Texas,2,1,2
5,Lead Engineer,"100,000",Georgia,6,1,2
4,Senior Copywriter,"35,000",,5,1,2
3,Manager of Data Integrity and Prospect Research,"65,000",Virginia,3,1,1
3,Principal Software Engineer,"187,500",Pennsylvania,4,1,2
3,Intelligence Analyst,"110,000",Virginia,4,2,1
3,Project Manager,"66,625",Massachusetts,4,1,2
4,Mobile developer,"144,600",Massachusetts,3,3,2
4,Product Design Director,"200,850",North Carolina,5,1,2
3,Engineering specialist,"120,000",,5,1,2
3,"Manager, Total Rewards","97,500",,4,1,2
4,Research and Development Engineer 3,"96,000",California,3,3,2
3,Science Teacher (Public High School),"53,000",Minnesota,3,2,2
3,"Senior Manager, Programmatic","95,000",Illinois,4,1,2
4,Managed Services Sales Coordinator,"72,000",Michigan,5,2,2
4,Editor,"52,000",,5,1,2
4,Water Resources Engineer,"106,000",Massachusetts,6,2,2
3,Program Officer,"115,000",District of Columbia,3,3,2
3,Account Supervisor,"100,500",District of Columbia,5,1,2
3,Legal Secretary,"33,200",New Jersey,4,0,2
4,Policy Lead,"52,000",,5,2,2
3,Coordinator,"52,000",Illinois,4,1,2
3,Senior Advisor,"79,000",,4,2,2
7,Safety Director,"104,000",Georgia,8,1,1
3,Secondary School Educator,"75,000",,3,1,2
2,Downstream Process Development Research Associate I,"52,000",Texas,2,1,2
3,Research Programmer,"70,000",Rhode Island,3,2,0
3,"Manager, Natural Climate Solutions Development","84,000",District of Columbia,3,2,2
4,AR Manager,"53,000",Illinois,6,2,2
3,Technical specialist,"34,000",Minnesota,3,1,2
3,Programming Coordinator,"38,000",Colorado,3,2,2
